%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-17.3,8.069,-5.358,31.18,-5.221,22.85,36.97,42.99,-51.86,-39.28,79.27,72.75,64.71,76.37,-46.77,86.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,8.886,3.169,-17.97,20.49,-19.1,6.607,17.65,35.29,-15.54,-6.433,53.74,35.81,26.92,41.13,-21.97,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-4.288,-34.85,-35.46,-21.01,-31.84,0.665,2.268,16.66,-30.58,-25.48,37.93,27.85,15.32,29.15,-28.52,34.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-20.65,-45.72,-17.05,-38.11,-21.14,20.31,19.32,14.24,-51.93,-47.66,62.49,53.18,39.08,45.44,-43.24,58.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-7.686,-22.73,4.609,-21.42,-8.697,13.88,23.38,27.23,-29.9,-27.66,56.19,38.89,22.24,25.8,-19.5,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-4.467,-6.442,1.276,-15.18,-5.393,3.121,27.45,51.3,-39.34,-34.16,50.69,43.51,22.48,37.1,-25.72,41.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0.7258,1.574,6.199,-37.6,3.049,16.11,38.21,44.99,-35.5,-28.71,51.97,46.65,34.86,54.15,-33.95,63.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-11.52,-14.1,-1.413,-38.48,5.65,20.84,18.45,30.73,-24.22,-17.65,35.3,25.96,21.95,41.0,-23.82,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-28.17,-26.35,-29.73,-0.541,9.034,17.94,-11.12,52.57,-38.5,-25.92,34.62,32.88,23.88,47.88,-40.2,53.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-15.99,-17.85,-52.12,9.347,9.843,4.385,-23.88,50.46,-36.04,-21.16,40.74,32.14,24.43,49.09,-41.09,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-11.18,-22.9,-44.25,1.059,-2.377,-2.132,-18.2,30.04,-36.7,-19.89,42.85,27.4,21.01,43.33,-22.25,48.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-10.33,-22.73,-5.773,-4.225,-2.009,29.62,-2.72,42.12,-37.16,-10.09,51.64,51.37,33.6,56.33,-27.08,55.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-10.37,-8.803,-9.68,-56.49,3.704,39.22,-3.148,40.29,-27.01,2.606,49.16,49.77,27.06,51.57,-30.46,44.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-17.18,2.46,-41.62,-73.25,6.123,24.73,5.282,24.7,-31.12,-3.252,54.22,39.35,25.07,49.48,-25.93,51.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-2.362,6.073,-32.93,-4.991,13.42,36.4,26.35,20.43,-21.39,11.64,56.32,51.12,37.28,57.45,-24.92,59.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,6.289,-11.88,-30.25,13.26,2.191,25.16,12.1,23.06,-12.57,14.96,30.55,44.38,25.28,44.23,-23.93,46.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,-2.33,-24.22,-30.15,-33.7,-13.92,-8.842,-16.35,41.92,-25.04,-11.59,28.57,32.64,19.86,39.55,-29.53,50.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,-8.369,-26.61,-16.2,-64.63,-14.02,-18.61,-23.58,23.5,-28.98,-18.0,49.65,36.58,27.31,41.92,-26.82,51.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,-23.38,-36.49,-43.74,-71.18,-9.931,-19.15,-9.511,-9.919,-32.25,-19.4,62.76,46.67,33.0,43.52,-16.69,49.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,-27.85,-31.0,-72.4,-60.43,2.112,-13.49,-0.1087,23.86,-28.87,-18.14,73.3,56.62,41.81,56.53,-15.42,65.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,-23.82,-27.93,-76.49,-51.33,1.334,-3.917,-26.39,53.38,-26.03,-10.38,62.12,56.0,27.73,54.21,-17.58,57.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,-23.41,-27.76,-93.18,-29.79,-17.76,0.6609,-35.99,47.29,-43.52,-15.79,48.43,61.38,15.38,49.73,-25.33,46.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,-11.29,-23.35,-90.38,9.203,-23.3,-0.7606,-18.31,44.82,-47.35,-13.88,54.09,60.62,23.0,50.57,-27.3,49.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,-16.03,-46.92,-71.07,12.83,-25.31,-11.47,-32.48,23.42,-46.21,-11.99,59.4,34.48,17.82,40.19,-24.66,48.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,-31.71,-45.9,-77.68,-9.58,-31.37,-10.15,-42.14,21.19,-52.99,-16.12,59.78,20.6,11.66,40.93,-37.95,49.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,-27.86,-14.3,-94.41,-35.11,-34.61,-8.0,-27.42,44.01,-51.67,-16.62,42.69,22.29,6.387,37.77,-41.96,38.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
