%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,-0,0,-0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-80.81,-46.17,-13.14,-36.51,-24.49,-65.07,-40.48,-5.762,-49.77,-47.67,-18.15,-36.42,-12.77,-17.31,10.17,5.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-82.57,-23.58,-57.89,-36.96,-57.44,-93.36,-47.2,12.91,-45.4,-49.9,2.428,1.428,-30.04,-19.99,15.54,-0.6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-71.83,-49.35,-69.46,-52.28,-50.37,-106.9,-75.21,-15.62,-51.45,-69.4,-1.909,-2.77,-61.4,-44.77,0.6686,-20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-76.72,-90.85,-36.41,-64.5,-5.266,-95.47,-84.01,-52.44,-48.41,-77.38,-28.48,-34.39,-65.38,-61.86,-12.66,-35.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-75.16,-82.45,-52.29,-58.94,-32.36,-87.96,-71.08,-53.62,-39.73,-66.15,-27.85,-24.87,-52.8,-49.48,-10.86,-37.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-70.23,-78.67,-77.01,-66.41,-76.47,-97.64,-86.54,-49.57,-49.06,-77.54,-19.25,-25.06,-48.71,-32.2,-10.29,-26.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-60.76,-58.39,-35.45,-62.6,-27.66,-67.23,-75.13,-27.07,-28.1,-66.66,-27.4,-40.39,-33.06,-23.22,-24.48,-24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-73.79,-43.79,-37.33,-56.1,-33.47,-52.02,-54.74,-14.47,-29.6,-57.52,-47.5,-56.05,-43.59,-46.23,-51.06,-42.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-97.81,-84.22,-84,-67.06,-102.3,-92.92,-80.19,-29.77,-55.91,-84,-62.52,-77.55,-80.83,-74.51,-63.16,-44.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-75.03,-94.67,-59.81,-63.24,-58.88,-88.09,-84.39,-22.32,-13.74,-77.13,-51,-71.36,-79.74,-69.45,-52.28,-29.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-42.88,-65.42,-40.87,-59.31,-16.86,-43.73,-54.75,-24.48,29.76,-58.51,-22.89,-39.25,-55.46,-61.06,-29.91,-21.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-50.89,-58.65,-65.19,-64.9,-58.29,-52.3,-52.07,-51.59,17.79,-79.93,-16.76,-26.45,-49.81,-62.32,-9.582,-12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,-69.75,-62.86,-50.82,-50.12,-38.03,-74.62,-68.71,-33.87,7.828,-95.03,-33.83,-33.72,-59.3,-68.81,-11.78,-22.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,-75.19,-88.38,-50.16,-36.59,-20.14,-59.3,-70.23,-10.23,7.209,-89.75,-36.27,-23.72,-63.32,-79.13,-11.99,-38.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,-64.36,-114.5,-90.91,-50.89,-86.72,-68.6,-67.93,-53.25,14.76,-88.07,-39.95,-13.42,-56.11,-76.46,-0.571,-29.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,-62.96,-93.02,-100.3,-74.07,-87.81,-107.2,-84.91,-83.31,22.38,-82.81,-72.9,-41.28,-57.03,-69.92,-16.08,-35.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,-87.52,-80.34,-89.76,-73.17,-14.85,-99.02,-99.4,-35.25,5.242,-76.82,-87.71,-65.81,-58.01,-61.94,-28.39,-43.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,-103.5,-107.8,-89.75,-57.27,-10.15,-90.4,-102.6,-8.883,-13.26,-81.34,-70.56,-61.66,-45,-43.8,-8.401,-17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,-110.5,-113.2,-91.53,-71.75,-59.36,-115.8,-105.6,-50.59,-14.1,-77.78,-55.94,-53.7,-30.67,-30.05,7.112,8.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,-120.4,-85.4,-102.7,-91.28,-90.9,-100.1,-86.35,-68.4,-13.39,-64.07,-36.68,-33.56,-19.07,-24.06,13.63,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
